id,latitude,longitude,acq_date,acq_time,satellite,instrument,version,bright,frp,confidence,daynight
MODIS_0000,56.0369,92.0103,2026-07-15,1030,Terra,MODIS,6.1,354.71,28.83,0.78,D
MODIS_0001,56.04,91.9568,2026-07-15,1035,Terra,MODIS,6.1,349.87,62.96,0.88,D
MODIS_0002,56.0441,91.9979,2026-07-15,1040,Terra,MODIS,6.1,357.49,45.91,0.91,D
MODIS_0003,55.9728,92.0016,2026-07-15,1045,Terra,MODIS,6.1,377.34,50.03,0.73,D
MODIS_0004,55.9915,92.0446,2026-07-15,1050,Terra,MODIS,6.1,360.32,60.33,0.86,D
MODIS_0005,55.9937,92.0348,2026-07-15,1055,Terra,MODIS,6.1,362.35,22.58,0.84,D
MODIS_0006,55.9589,92.0299,2026-07-15,1100,Terra,MODIS,6.1,375.9,50.3,0.99,D
MODIS_0007,55.9752,92.0333,2026-07-15,1105,Terra,MODIS,6.1,347.39,36.97,0.92,D
MODIS_0008,55.9528,91.9722,2026-07-15,1110,Terra,MODIS,6.1,342.57,43.87,0.98,D
MODIS_0009,55.9725,91.9526,2026-07-15,1115,Terra,MODIS,6.1,379.06,26.98,0.83,D
MODIS_0010,56.0125,91.9702,2026-07-15,1120,Terra,MODIS,6.1,353.81,64.38,0.94,D
MODIS_0011,56.0044,91.9822,2026-07-15,1125,Terra,MODIS,6.1,363.48,41.27,0.9,D
MODIS_0012,55.9553,92.0474,2026-07-15,1130,Terra,MODIS,6.1,364.18,30.8,0.92,D
MODIS_0013,55.9562,91.9558,2026-07-15,1135,Terra,MODIS,6.1,379.83,24.07,0.98,D
MODIS_0014,56.0465,92.0389,2026-07-15,1140,Terra,MODIS,6.1,370.1,36.59,0.97,D
MODIS_FP_001,56.2,91.8,2026-07-15,1030,Aqua,MODIS,6.1,315,3.5,0.25,D
MODIS_FP_002,55.85,92.1,2026-07-15,1035,Terra,MODIS,6.1,350,45,0.85,D
