id,latitude,longitude,acq_date,acq_time,satellite,instrument,version,bright,frp,confidence,daynight,type
VIIRS_0000,56.01928,91.97324,2026-07-15,1100,Suomi-NPP,VIIRS,1.0,340.45,39.42,0.72,D,V
VIIRS_0001,56.00796,92.0002,2026-07-15,1103,Suomi-NPP,VIIRS,1.0,368.81,31.55,0.71,D,V
VIIRS_0002,55.99701,92.00021,2026-07-15,1106,Suomi-NPP,VIIRS,1.0,365.15,24.45,0.72,D,V
VIIRS_0003,56.0104,91.98591,2026-07-15,1109,Suomi-NPP,VIIRS,1.0,350.74,46.37,0.71,D,V
VIIRS_0004,55.99524,92.00852,2026-07-15,1112,Suomi-NPP,VIIRS,1.0,349.8,26.45,0.69,D,V
VIIRS_0005,56.02609,92.00966,2026-07-15,1115,Suomi-NPP,VIIRS,1.0,362.37,51.98,0.73,D,V
VIIRS_0006,56.02155,91.98674,2026-07-15,1118,Suomi-NPP,VIIRS,1.0,346.76,31.34,0.91,D,V
VIIRS_0007,55.97842,91.98157,2026-07-15,1121,Suomi-NPP,VIIRS,1.0,351.8,47.93,0.75,D,V
VIIRS_0008,55.99759,91.97414,2026-07-15,1124,Suomi-NPP,VIIRS,1.0,333.68,43.8,0.66,D,V
VIIRS_0009,55.98342,91.97624,2026-07-15,1127,Suomi-NPP,VIIRS,1.0,335.73,30.64,0.8,D,V
VIIRS_0010,55.99103,91.9872,2026-07-15,1130,Suomi-NPP,VIIRS,1.0,366.39,58.73,0.79,D,V
VIIRS_0011,56.00401,92.00397,2026-07-15,1133,Suomi-NPP,VIIRS,1.0,339.21,39.05,0.78,D,V
VIIRS_0012,55.98867,91.98295,2026-07-15,1136,Suomi-NPP,VIIRS,1.0,349.98,26.37,0.92,D,V
VIIRS_0013,56.02055,91.97452,2026-07-15,1139,Suomi-NPP,VIIRS,1.0,343.09,41.25,0.75,D,V
VIIRS_0014,55.97049,91.97547,2026-07-15,1142,Suomi-NPP,VIIRS,1.0,345.21,28.29,0.76,D,V
VIIRS_0015,55.98002,91.99207,2026-07-15,1145,Suomi-NPP,VIIRS,1.0,358.67,55.28,0.73,D,V
VIIRS_0016,56.01884,91.98059,2026-07-15,1148,Suomi-NPP,VIIRS,1.0,346.5,39.51,0.84,D,V
VIIRS_0017,55.99133,92.0219,2026-07-15,1151,Suomi-NPP,VIIRS,1.0,366.08,37.86,0.71,D,V
VIIRS_0018,56.00709,92.0166,2026-07-15,1154,Suomi-NPP,VIIRS,1.0,367.98,30.41,0.8,D,V
VIIRS_0019,56.01149,91.99123,2026-07-15,1157,Suomi-NPP,VIIRS,1.0,348.1,37.01,0.83,D,V
VIIRS_0020,55.9881,92.00546,2026-07-15,1200,Suomi-NPP,VIIRS,1.0,339.19,36.41,0.63,D,V
VIIRS_0021,55.99218,91.99262,2026-07-15,1203,Suomi-NPP,VIIRS,1.0,363.87,32.32,0.62,D,V
VIIRS_0022,56.01384,92.00459,2026-07-15,1206,Suomi-NPP,VIIRS,1.0,341.25,33.14,0.65,D,V
VIIRS_0023,55.97873,92.01981,2026-07-15,1209,Suomi-NPP,VIIRS,1.0,366.21,43.73,0.8,D,V
VIIRS_0024,56.00986,91.98393,2026-07-15,1212,Suomi-NPP,VIIRS,1.0,341.79,20.45,0.63,D,V
